Date;Time;Flagging;'THD12_[%]';'THD23_[%]';'THD31_[%]';'H1_UL1_[%]';'H1_UL2_[%]';'H1_UL3_[%]';'H2_UL1_[%]';'H2_UL2_[%]';'H4_UL2_[%]';'H4_UL3_[%]';'H5_UL1_[%]';'H5_UL2_[%]';'H5_UL3_[%]';'H6_UL1_[%]';'H6_UL2_[%]';'H6_UL3_[%]';'H7_UL1_[%]'
11.08.2021;11:20:00; ;2,637868;2,621558;2,652821;100;100;100;0,018885;0,01511;0,012545;0,010861;2,420479;2,434468;2,470171;0,012415;0,011645;0,016914;0,921922
11.08.2021;11:30:00; ;2,565971;2,606963;2,599147;100;100;100;0,020145;0,014993;0,013379;0,01379;2,355673;2,379527;2,419153;0,013503;0,013753;0,017604;0,921175
11.08.2021;11:40:00; ;2,64081;2,737472;2,658684;100;100;100;0,021737;0,013893;0,013635;0,014748;2,413489;2,499445;2,530181;0,012961;0,011899;0,015007;0,903209
11.08.2021;11:50:00; ;2,622457;2,680909;2,595062;100;100;100;0,020998;0,013351;0,011553;0,012055;2,369868;2,436482;2,422706;0,011514;0,010579;0,013888;0,92639
11.08.2021;12:00:00;X;2,603184;2,623839;2,571067;100;100;100;0,023039;0,015259;0,010843;0,011051;2,300171;2,329642;2,274664;0,015428;0,011696;0,015195;1,046309
11.08.2021;12:10:00; ;2,625937;2,68432;2,683503;100;100;100;0,020626;0,012497;0,010919;0,010766;2,397835;2,387054;2,403338;0,013592;0,011995;0,015175;1,041011
11.08.2021;12:20:00;X;2,706375;2,752595;2,739302;100;100;100;0,022324;0,011709;0,011516;0,010674;2,494733;2,501846;2,486458;0,011041;0,011667;0,012581;1,00208
11.08.2021;12:30:00; ;2,719078;2,741812;2,733977;100;100;100;0,020668;0,013266;0,010612;0,010157;2,473994;2,460228;2,445894;0,010729;0,012731;0,01373;1,05565
11.08.2021;12:40:00; ;2,581762;2,547449;2,591965;100;100;100;0,022259;0,014369;0,010899;0,013563;2,295916;2,277631;2,235947;0,012914;0,013125;0,012508;1,088471
11.08.2021;12:50:00; ;2,579579;2,565032;2,5993;100;100;100;0,025399;0,014651;0,011604;0,014456;2,325769;2,330018;2,289879;0,014337;0,015345;0,013333;1,056029
11.08.2021;13:00:00; ;2,606412;2,630414;2,599034;100;100;100;0,02142;0,015096;0,012498;0,022775;2,389329;2,408441;2,368204;0,013956;0,012336;0,01699;0,908418
11.08.2021;13:10:00; ;2,590601;2,574967;2,588334;100;100;100;0,024776;0,018062;0,014934;0,01484;2,338478;2,320927;2,335144;0,013377;0,014247;0,015552;0,987302
11.08.2021;13:20:00;X;2,490876;2,436399;2,52261;100;100;100;0,02224;0,015886;0,010383;0,012071;2,211633;2,151174;2,206228;0,014629;0,014877;0,013153;1,078341
11.08.2021;13:30:00; ;2,379542;2,391367;2,457571;100;100;100;0,024191;0,015931;0,011233;0,012502;2,03954;1,989832;2,09963;0,016952;0,016745;0,009639;1,181308
11.08.2021;13:40:00; ;2,483147;2,456624;2,520089;100;100;100;0,029641;0,015304;0,010587;0,011372;2,11955;2,08367;2,15741;0,012552;0,013257;0,013232;1,204102
